client_id,FirstName,LastName,PhoneNumber,first_call_date,avg_duration_in_sec
1,Garnier,Cunégonde,0628145952,2016-01-09,349.0
2,Andre,Archibald,0628543746,2016-01-11,323.0
3,Laurent,Cunégonde,0629397135,2016-01-17,142.0
4,Denis,Hildegarde,0631137346,2016-01-12,455.0
5,Thomas,Jean-Yves,0632108564,2016-01-13,94.0
5,Leroy,Imogène,0632108564,2016-01-13,94.0
6,Joly,Imogène,0632141098,2016-01-10,236.0
7,Martinez,Sultan,0632488364,2016-01-12,412.0
8,Vincent,Imogène,0632989864,2016-01-15,211.0
9,Roussel,Imogène,0634238940,2016-01-09,206.0
9,Mathieu,Archibald,0634238940,2016-01-09,206.0
9,Gautier,Sultan,0634238940,2016-01-09,206.0
10,Muller,Daniella,0634562212,2016-01-10,141.0
11,Clement,Jean-Yves,0638427162,2016-01-14,227.0
12,Gerard,Archibald,0639344065,2016-01-08,109.0
13,David,Hildegarde,0644418361,2016-01-14,139.0
14,Guerin,Hildegarde,0646089214,2016-01-16,228.0
15,Gauthier,Ursule,0647095842,2016-01-11,54.0
16,Petit,Daniella,0647208708,2016-01-14,254.0
17,Chevalier,Imogène,0647305581,2016-01-15,329.0
18,Nicolas,Sultan,0649508037,2016-01-15,60.0
19,Lefevre,Jean-Yves,0650269425,2016-01-16,164.0
20,Garcia,Ursule,0650937377,2016-01-14,490.0
21,Morel,Brunehilde,0656237091,2016-01-10,385.0
22,Moreau,Sultan,0659368671,2016-01-08,325.0
23,Girard,Cunégonde,0660335670,2016-01-11,266.0
24,Faure,Archibald,0664093989,2016-01-09,294.0
25,Dupont,Hildegarde,0671679536,2016-01-15,176.0
26,Dumont,Hildegarde,0673561595,2016-01-09,237.0
27,Sanchez,Cunégonde,0674076991,2016-01-13,77.0
28,Roux,Brigitte:,0679130678,2016-01-15,437.0
29,Lopez,Daniella,0681343873,2016-01-16,334.0
30,Fontaine,Brigitte:,0681387976,2016-01-14,432.0
31,Michel,Jean-Yves,0682020496,2016-01-17,159.0
32,Richard,Hildegarde,0682792015,2016-01-10,52.0
33,Bonnet,Brigitte:,0682997746,2016-01-17,363.0
34,Lemaire,Daniella,0684875058,2016-01-10,472.0
35,Durand,Brigitte:,0689168341,2016-01-11,294.0
36,Morin,Cunégonde,0689739321,2016-01-11,352.0
37,Perrin,Brunehilde,0691770229,2016-01-15,348.0
38,Masson,Brunehilde,0694871914,2016-01-14,329.0
38,Duval,Brigitte:,0694871914,2016-01-14,329.0
39,Robert,Ursule,0699309366,2016-01-13,339.0
